Numero,Voie,Code_Postal,Ville,Latitude,Longitude,Distance_Centre_m,PJ_Titre,PJ_Telephone,BDNB_Annee,BDNB_DPE,Entreprise_Nom,Entreprise_Categorie,Entreprise_Telephones,Entreprise_Emails,Entreprise_Sites,SIREN,SIRET,NAF,Proprietaire_Nom,Proprietaire_Role,Surface_Toiture_m2,Surface_Parking_m2,Annee_Construction_OSM
14,Avenue du Vercors,38240,Meylan,45.20922,5.774651,1040,"Piscine des Buclos Meylan - Piscine, centre aquatique (adresse, horaires, avis, ouvert le dimanche)",04 38 24 08 24,,,Piscine des Buclos,,,,,440583706,,93.12Z,,,11287.6,6307.3,
17,Avenue du Vercors,38240,Meylan,45.208635,5.775203,1022,"Nathalie Schneider Meylan - Médecin généraliste (adresse, horaires)",04 76 90 05 69,1970,D,Nathalie Schneider,,,,,441034626,,86.21Z,NATHALIE SCHNEIDER (ROBIN),,9947.9,9371.5,
19,Avenue du Vercors,38240,Meylan,45.207655,5.775244,1066,Semelles Aux Vents D'Isere Meylan - Association culturelle (adresse),,1973,C,Semelles Aux Vents D'Isere,,,,,794269332,,94.99Z,,,10114.0,8056.9,
21,Avenue du Vercors,38240,Meylan,45.208284,5.774745,1071,"UNION TAI CHI CHUAN UN-TCC Meylan - Clubs de sport (adresse, horaires)",,1970,D,UNION TAI CHI CHUAN UN-TCC,,,,,420706707,,85.51Z,,,11137.0,8231.9,
27,Avenue du Vercors,38240,Meylan,45.206433,5.773229,1270,"Cordonnerie des Buclos Meylan - Cordonnerie (adresse, horaires, avis)",04 76 41 05 35,,,Cordonnerie des Buclos,craft=shoemaker,+33476410535,,https://cordonneriedesbuclos.com/,533611778,,95.23Z,ANTONI NARDIELLO (NARDIELLO),Gérant,12694.2,12525.4,
30,Avenue du Vercors,38240,Meylan,45.207709,5.773832,1162,"Crèche Des Buclos Meylan - Crèche (adresse, horaires)",04 76 90 74 63,,,Crèche Des Buclos,,,,,,,,,,11978.9,9905.1,
31,Avenue du Vercors,38240,Meylan,45.205474,5.771669,1430,"Entretien Physique Meylan - Club de natation (adresse, horaires)",,1976,E,Entretien Physique,,,,,,,,,,14407.9,11727.3,
32,Avenue du Vercors,38240,Meylan,45.206461,5.772318,1331,"Banque Populaire Auvergne Rhône Alpes Meylan - Banque (adresse, horaires)",04 76 03 42 00,,,Banque Populaire Auvergne Rhône Alpes,,,,,605520071,,64.19Z,LIONEL BAUD,Président du conseil d'administration,15268.6,11445.0,
35,Avenue du Vercors,38240,Meylan,45.205282,5.77108,1480,YZI Driver Meylan - Vtc (adresse),06 77 34 21 34,1976,D,YZI Driver,,,,,980053680,,49.32Z,YASSINE ZIAT,Président de SAS,15303.7,12555.8,
41,Avenue du Vercors,38240,Meylan,45.205337,5.769823,1562,Pinceaux - Couleurs Et Amitie A Meylan - Cours d'arts plastiques (adresse),,1977,D,Pinceaux,,,,,,,,,,16285.0,9853.5,
45,Avenue du Vercors,38240,Meylan,45.205381,5.769177,1604,"JCA Group EIRL Meylan - Maintenance et services informatique (adresse, horaires)",06 50 01 76 36,1977,D,JCA Group EIRL,,,,,,,,,,14788.3,11204.5,
53,Avenue du Vercors,38240,Meylan,45.206308,5.768165,1631,"Karine Pourroy - Kinésithérapeute à Meylan (adresse, horaires, ouvert le dimanche)",04 76 41 93 36,1977,E,Karine Pourroy,,,,,352436158,,86.90E,KARINE POURROY (PAYERNE-BACCARD),,14512.4,19284.3,
3,Chemin du Vieux Chêne,38240,Meylan,45.206809,5.781484,748,"Aca Auditeur&Conseils Associés Meylan - Expertise comptable (adresse, horaires)",04 76 41 34 29,,,Aca Auditeur&Conseils Associés,,,,,399194208,,69.20Z,,,18389.2,11405.3,
5,Chemin du Vieux Chêne,38240,Meylan,45.20693,5.781919,717,"Grenoble Alpes Metropole Meylan - Déchetterie (adresse, horaires)",04 76 59 59 59,,,Grenoble Alpes Metropole,,,,,200040715,,84.11Z,,,15062.0,12328.1,
9,Chemin du Vieux Chêne,38240,Meylan,45.206723,5.784512,643,"Copy Meylan - Imprimerie (adresse, horaires)",04 76 04 93 83,,,Copy,,,,,492633292,,18.12Z,CATHERINE BLANC (MOLLARD),Gérant,14985.1,11518.3,
11,Chemin du Vieux Chêne,38240,Meylan,45.206821,5.78563,609,"Alp2i By Trilog Médical Solutions Meylan - Maintenance et services informatique (adresse, horaires)",04 82 74 02 60,,,Alp2i By Trilog Médical Solutions,,,,,,,,,,15618.7,20544.9,
15,Chemin du Vieux Chêne,38240,Meylan,45.206072,5.787074,679,"Work 2000 Intérim - Siège social Meylan - Agence d'intérim (adresse, horaires)",04 76 18 16 00,2001,,Work 2000 Intérim,,,,,,,,,,9290.2,10507.9,
30,Chemin du Vieux Chêne,38240,Meylan,45.209293,5.798436,933,"Kercia Solutions Meylan - Editeurs de logiciels (adresse, horaires)",04 56 40 06 70,1990,,Kercia Solutions,,,,,497974758,,58.29C,,,9605.6,16671.6,
32,Chemin du Vieux Chêne,38240,Meylan,45.209762,5.798916,953,"Ruddy Food Meylan - Restaurant (adresse, horaires)",04 76 52 10 86,,,Ruddy Food,,,,,448823922,,56.10C,RUDDY PETIT (PETIT),,9211.0,11825.8,
35,Chemin du Vieux Chêne,38240,Meylan,45.20786,5.794069,718,"Algeco Meylan - Location de matériel industriel (adresse, horaires)",09 74 93 00 08,1991,,Algeco,,,,,685550659,,77.39Z,JAMES ODOM,Président de SAS,8497.9,14440.1,
36,Chemin du Vieux Chêne,38240,Meylan,45.208836,5.798182,934,"AGIR à dom. Grenoble Meylan - Soins à domicile (adresse, horaires, avis)",04 76 51 03 04,,,AGIR à dom. Grenoble,,,,,,,,,,9977.7,16503.7,
37,Chemin du Vieux Chêne,38240,Meylan,45.207867,5.794695,755,"Allianz Meylan - David Lebigot - Assurance (adresse, horaires)",04 76 24 60 07,1991,,Allianz,,,,,,,,,,8497.9,16476.0,
39,Chemin du Vieux Chêne,38240,Meylan,45.207546,5.794808,785,"CGI Real Estate Meylan - Immobilier d'entreprise (adresse, horaires, avis)",04 76 61 60 20,1991,,CGI Real Estate,,,,,394202592,,68.31Z,EMMANUEL PETERLE,Président de SAS,7342.0,14792.0,
41,Chemin du Vieux Chêne,38240,Meylan,45.207668,5.79522,801,"GEFI Meylan - Gestion de patrimoine (adresse, horaires)",04 76 54 63 84,1991,,GEFI,,,,,421608860,,82.99Z,KAREN MOUNIER,Directeur Général,8759.3,15994.7,
43,Chemin du Vieux Chêne,38240,Meylan,45.207857,5.795881,830,"AsteelFlash Etablissement Développement Meylan - Matériel d'électronique (adresse, horaires)",09 60 39 79 86,,,AsteelFlash Etablissement Développement,,,,,,,,,,9334.4,18465.3,
47,Chemin du Vieux Chêne,38240,Meylan,45.208431,5.794923,731,"Inobelle Meylan - Institut de beauté (adresse, horaires, avis)",07 60 55 30 58,,,Inobelle,,,,,922091897,,96.02B,ISMAHENE BOUHADIBA (BENBERNOU),Gérant,10660.6,17017.5,
49,Chemin du Vieux Chêne,38240,Meylan,45.208226,5.795321,770,"SCM Santé du Chene Meylan - Masseur kinésithérapeute (adresse, horaires)",04 76 54 53 40,,,SCM Santé du Chene,,,,,831296967,,66.19A,ANNE-LAURE COQUET,Gérant,9273.2,17279.0,
51,Chemin du Vieux Chêne,38240,Meylan,45.208413,5.795999,803,"PEXIN Meylan - Bureau d'études (adresse, horaires)",04 76 46 89 06,,,PEXIN,,,,,818500142,,71.12B,,,10201.4,19015.7,
53,Chemin du Vieux Chêne,38240,Meylan,45.208704,5.795815,774,R.B.I SARL Meylan - Automatismes industriels (adresse),04 76 41 91 66,,,R.B.I SARL,,,,,,,,,,10373.2,19015.7,
55,Chemin du Vieux Chêne,38240,Meylan,45.208603,5.796703,841,"YEG Architecte Meylan - Architecte (adresse, horaires)",09 73 88 46 46,,,YEG Architecte,,,,,933397713,,71.11Z,YANN-ERIC GUERIN,Gérant,9500.4,21892.0,
57,Chemin du Vieux Chêne,38240,Meylan,45.208106,5.796703,868,"ALTERYS.COM ALTERYS Meylan - Avocats (adresse, horaires)",,,,ALTERYS.COM ALTERYS,,,,,798401279,,69.10Z,CECILIA MONTEIRO,Président de SAS,7797.8,19676.7,
59,Chemin du Vieux Chêne,38240,Meylan,45.208581,5.796877,854,"Cedrat Technologies Meylan - Bureau d'études (adresse, horaires)",04 56 58 04 00,,,Cedrat Technologies,office=company,+33456580400,,https://www.cedrat-technologies.com/,310416334,,71.12B,FRANK CLAEYSSEN,Président de SAS,11007.2,21794.1,
61,Chemin du Vieux Chêne,38240,Meylan,45.20867,5.797704,907,"Alpes Instruments Meylan - Automatismes industriels (adresse, horaires)",04 76 90 36 14,,,Alpes Instruments,,,,,411371263,,94.99Z,,,9948.1,19420.9,
1,Avenue du Granier,38240,Meylan,45.209451,5.780226,628,"Gendarmerie Nationale Meylan (adresse, horaires)",04 38 37 47 70,,,Gendarmerie Nationale,,,,,,,,,,13047.6,9277.5,
5,Chemin de Bérivière,38240,Meylan,45.217799,5.783658,686,"Vaca Christine Meylan - Conseils en gestion, management (adresse, horaires)",07 70 40 84 35,2002,,Vaca Christine,,,,,,,,,,9835.1,,
9,Chemin de Bérivière,38240,Meylan,45.21713,5.784058,605,NDI - DIAGNOSTIQUEUR Meylan - Diagnostic immobilier (adresse),06 09 96 38 70,2018,C,NDI,,,,,980221907,,71.20B,ROMAIN BARTHELEMY,Gérant,10307.0,1288.1,
36,Chemin de la Taillat,38240,Meylan,45.208506,5.7794,738,Tiphaine Escudery Meylan - Orthophoniste (adresse),04 76 51 67 85,1971,D,Tiphaine Escudery,,,,,817919681,,86.90E,TIPHAINE ESCUDERY,,12122.4,10254.0,
47,Chemin de la Taillat,38240,Meylan,45.207572,5.780542,733,"Conseil Etudes Traitement C.E.T Meylan - Bureau d'études (adresse, horaires)",07 61 69 08 56,2012,,Conseil Etudes Traitement C.E.T,,,,,,,,,,14506.3,12004.1,
51,Chemin de la Taillat,38240,Meylan,45.205931,5.780876,855,"Kpmg Meylan - Expertise comptable (adresse, horaires)",04 76 90 80 80,2019,,Kpmg,office=company,+33476908080,,https://bureaux.kpmg.fr/fr/france-FR/311/kpmg-meylan-grenoble/details,775726417,,69.20Z,MARIE GUILLEMOT,Président du conseil d'administration et directeur général,13776.0,8183.5,
55,Chemin de la Taillat,38240,Meylan,45.20542,5.780951,898,"RG Clim' Meylan - Climatisation (adresse, horaires)",06 14 91 24 71,,,RG Clim',,,,,892603945,,43.22B,MICHAEL CAMMARATA (CAMMARATA),Président de SAS,10263.8,6316.8,
57,Chemin de la Taillat,38240,Meylan,45.205349,5.781205,894,"Bellot Rémi Meylan - Création de site internet (adresse, horaires)",06 52 84 76 04,2000,D,Bellot Rémi,,,,,,,,,,11987.4,6316.8,
58,Chemin de la Taillat,38240,Meylan,45.206916,5.780444,791,Galiano Julien Quali-Travaux Meylan (adresse),04 76 14 81 57,2016,,Galiano Julien Quali-Travaux,,,,,,,,,,16319.9,9430.8,
60,Chemin de la Taillat,38240,Meylan,45.205775,5.780737,875,"Editions Correspondances Meylan - Éditions culturelles (adresse, horaires)",04 76 50 25 25,,,Editions Correspondances,,,,,382244887,,58.19Z,MARC GIANINAZ,Gérant,12043.0,7693.5,
